,Principal,terms,age,Gender,weekend,loan_status,Bechalor,High School or Below,college
66,1000,30,28,0,1,PAIDOFF,0,1,0
67,1000,7,25,0,1,PAIDOFF,0,0,1
68,1000,15,29,0,1,PAIDOFF,0,0,1
69,800,15,33,0,1,PAIDOFF,0,0,1
70,1000,30,24,1,1,PAIDOFF,0,1,0
71,1000,30,27,1,1,PAIDOFF,0,0,1
72,800,15,46,1,1,PAIDOFF,0,1,0
73,800,15,34,1,1,PAIDOFF,0,0,1
74,800,15,38,0,1,PAIDOFF,0,1,0
75,800,15,27,0,1,PAIDOFF,0,1,0
76,1000,30,33,0,1,PAIDOFF,0,1,0
77,1000,30,36,0,1,PAIDOFF,0,0,1
78,1000,30,34,0,1,PAIDOFF,0,0,1
79,1000,30,22,0,1,PAIDOFF,0,1,0
80,1000,30,31,1,1,PAIDOFF,1,0,0
81,800,15,38,0,1,PAIDOFF,0,0,1
82,1000,30,30,0,1,PAIDOFF,0,0,1
83,1000,15,45,0,1,PAIDOFF,0,1,0
84,1000,15,35,0,1,PAIDOFF,0,0,1
85,1000,30,31,0,1,PAIDOFF,0,1,0
86,1000,30,31,0,1,PAIDOFF,0,1,0
87,1000,30,28,0,1,PAIDOFF,0,0,1
88,1000,7,29,0,1,PAIDOFF,0,0,1
89,800,15,29,0,1,PAIDOFF,0,0,1
90,1000,30,27,1,1,PAIDOFF,0,0,1
91,1000,30,27,0,1,PAIDOFF,0,0,1
92,1000,30,33,0,1,PAIDOFF,0,0,1
93,1000,30,28,0,1,PAIDOFF,0,0,1
94,1000,15,25,0,1,PAIDOFF,0,1,0
95,1000,30,40,0,1,PAIDOFF,0,0,1
96,1000,30,23,0,1,PAIDOFF,0,1,0
97,1000,30,35,0,1,PAIDOFF,1,0,0
98,800,15,24,0,1,PAIDOFF,0,0,1
99,1000,30,34,0,1,PAIDOFF,0,0,1
100,1000,30,22,0,1,PAIDOFF,0,1,0
101,1000,15,20,0,1,PAIDOFF,0,0,1
102,1000,15,23,0,1,PAIDOFF,0,0,1
103,1000,30,33,0,1,PAIDOFF,0,0,1
104,1000,30,26,0,1,PAIDOFF,0,0,1
105,1000,15,28,0,1,PAIDOFF,0,1,0
106,800,15,43,0,1,PAIDOFF,0,1,0
107,1000,15,34,0,1,PAIDOFF,1,0,0
108,1000,30,38,0,1,PAIDOFF,1,0,0
109,1000,15,26,0,1,PAIDOFF,0,1,0
110,800,15,43,0,1,PAIDOFF,0,1,0
111,1000,30,26,0,1,PAIDOFF,0,1,0
112,1000,30,33,1,1,PAIDOFF,0,0,1
113,800,15,24,0,1,PAIDOFF,0,0,1
114,1000,30,30,0,1,PAIDOFF,0,1,0
115,800,15,32,1,1,PAIDOFF,0,1,0
116,1000,15,22,0,1,PAIDOFF,0,0,1
117,1000,15,47,0,1,PAIDOFF,0,1,0
118,1000,30,20,0,1,PAIDOFF,0,1,0
119,1000,30,28,0,1,PAIDOFF,0,1,0
120,800,15,35,0,1,PAIDOFF,0,0,1
121,800,15,33,1,1,PAIDOFF,0,0,1
122,1000,30,30,0,1,PAIDOFF,0,1,0
123,1000,15,31,0,1,PAIDOFF,0,0,1
124,1000,30,26,1,1,PAIDOFF,0,0,1
125,1000,15,26,0,0,PAIDOFF,1,0,0
126,800,15,35,0,0,PAIDOFF,1,0,0
127,800,15,23,0,0,PAIDOFF,0,0,1
128,500,15,23,1,0,PAIDOFF,0,0,1
129,1000,15,30,0,0,PAIDOFF,0,0,1
130,1000,30,34,0,0,PAIDOFF,0,0,1
131,1000,30,36,1,0,PAIDOFF,0,1,0
132,800,15,29,0,0,PAIDOFF,0,1,0
133,1000,15,28,1,0,PAIDOFF,0,0,1
134,1000,30,27,0,0,PAIDOFF,0,1,0
135,1000,15,24,0,0,PAIDOFF,0,1,0
136,800,15,31,0,0,PAIDOFF,1,0,0
137,1000,30,28,0,0,PAIDOFF,0,1,0
138,1000,15,27,1,0,PAIDOFF,0,0,1
139,1000,15,25,0,0,PAIDOFF,0,1,0
140,1000,30,24,0,0,PAIDOFF,0,1,0
141,1000,30,28,0,0,PAIDOFF,0,0,1
142,1000,15,35,0,0,PAIDOFF,0,1,0
143,1000,15,38,0,0,PAIDOFF,0,1,0
144,1000,30,29,0,0,PAIDOFF,0,0,1
145,800,15,35,0,0,PAIDOFF,0,1,0
146,1000,30,24,0,0,PAIDOFF,0,0,1
147,800,15,39,0,0,PAIDOFF,0,1,0
148,800,15,25,0,0,PAIDOFF,0,0,1
149,1000,30,38,0,0,PAIDOFF,0,1,0
150,1000,30,30,0,0,PAIDOFF,0,0,1
151,1000,30,21,0,0,PAIDOFF,0,1,0
152,1000,15,31,1,0,PAIDOFF,0,1,0
153,300,7,29,0,0,PAIDOFF,0,1,0
154,1000,30,35,0,0,PAIDOFF,0,1,0
155,800,15,30,0,0,PAIDOFF,0,1,0
156,1000,30,27,0,0,PAIDOFF,0,1,0
157,1000,30,31,1,0,PAIDOFF,0,1,0
158,1000,15,34,0,0,PAIDOFF,0,1,0
159,800,15,28,0,0,PAIDOFF,0,0,1
160,800,15,42,0,0,PAIDOFF,0,0,1
161,1000,30,32,0,0,PAIDOFF,0,0,1
162,1000,30,30,0,0,PAIDOFF,0,1,0
163,1000,15,25,1,0,PAIDOFF,0,1,0
164,1000,30,27,1,0,PAIDOFF,0,1,0
165,800,15,21,0,0,PAIDOFF,0,0,1
166,1000,30,24,0,0,PAIDOFF,0,0,1
167,1000,15,40,0,0,PAIDOFF,0,0,1
168,1000,30,29,0,0,PAIDOFF,0,1,0
169,1000,15,30,0,0,PAIDOFF,0,0,1
170,1000,30,26,1,0,PAIDOFF,0,1,0
171,800,15,27,0,0,PAIDOFF,0,0,1
172,1000,30,20,0,0,PAIDOFF,0,0,1
173,1000,7,26,1,0,PAIDOFF,1,0,0
174,1000,30,26,0,0,PAIDOFF,0,0,1
175,1000,30,27,0,0,PAIDOFF,0,0,1
176,300,7,23,0,0,PAIDOFF,0,1,0
177,1000,30,39,0,0,PAIDOFF,0,1,0
178,1000,15,27,0,0,PAIDOFF,0,1,0
179,1000,30,30,0,0,PAIDOFF,0,1,0
180,1000,30,33,1,0,PAIDOFF,0,1,0
181,1000,30,27,0,0,PAIDOFF,0,1,0
182,1000,30,35,0,0,PAIDOFF,0,1,0
183,1000,30,29,1,0,PAIDOFF,0,0,1
184,1000,15,50,0,0,PAIDOFF,0,1,0
185,800,15,31,1,0,PAIDOFF,0,1,0
186,1000,15,31,0,0,PAIDOFF,0,1,0
187,1000,30,29,0,0,PAIDOFF,0,1,0
188,1000,15,35,0,0,PAIDOFF,0,0,1
189,1000,30,39,0,0,PAIDOFF,0,0,1
190,1000,15,30,0,0,PAIDOFF,0,1,0
191,1000,30,33,0,0,PAIDOFF,1,0,0
192,1000,30,26,0,0,PAIDOFF,0,1,0
193,1000,15,25,0,0,PAIDOFF,0,1,0
194,800,15,37,0,0,PAIDOFF,1,0,0
195,800,15,26,0,0,PAIDOFF,0,1,0
196,800,15,26,0,0,PAIDOFF,0,0,1
197,1000,15,27,0,0,PAIDOFF,0,0,1
198,1000,7,34,1,0,PAIDOFF,0,0,1
199,1000,30,37,0,0,PAIDOFF,0,0,1
200,1000,30,36,0,0,PAIDOFF,0,1,0
201,800,15,33,0,0,PAIDOFF,0,1,0
202,1000,30,30,0,0,PAIDOFF,0,1,0
203,800,15,36,0,0,PAIDOFF,0,1,0
204,1000,15,29,0,0,PAIDOFF,0,0,1
205,1000,30,32,0,0,PAIDOFF,0,1,0
206,1000,15,29,1,0,PAIDOFF,0,1,0
207,800,15,36,0,0,PAIDOFF,1,0,0
208,800,15,30,1,0,PAIDOFF,0,1,0
209,1000,7,31,0,0,PAIDOFF,0,0,1
210,1000,30,19,1,0,PAIDOFF,0,1,0
211,800,15,26,0,0,PAIDOFF,0,0,1
212,800,15,34,0,0,PAIDOFF,0,1,0
213,1000,30,35,0,0,PAIDOFF,0,1,0
214,1000,15,35,1,0,PAIDOFF,1,0,0
215,800,15,38,0,0,PAIDOFF,0,0,1
216,500,7,22,0,0,PAIDOFF,0,1,0
217,1000,30,32,0,0,PAIDOFF,0,0,1
218,1000,30,31,0,0,PAIDOFF,0,0,1
219,800,15,28,0,0,PAIDOFF,0,0,1
220,1000,15,37,1,0,PAIDOFF,0,0,1
221,1000,7,25,0,0,PAIDOFF,0,0,1
222,1000,30,19,0,0,PAIDOFF,0,1,0
223,800,15,51,0,0,PAIDOFF,0,0,1
224,1000,15,29,0,0,PAIDOFF,0,1,0
225,800,30,23,1,0,PAIDOFF,0,0,1
226,1000,15,30,0,0,PAIDOFF,0,1,0
227,1000,15,34,1,0,PAIDOFF,1,0,0
228,800,15,31,1,0,PAIDOFF,1,0,0
229,1000,15,24,0,0,PAIDOFF,0,1,0
230,1000,30,42,0,0,PAIDOFF,0,1,0
231,800,30,40,1,0,PAIDOFF,0,0,1
232,1000,30,29,0,0,PAIDOFF,0,1,0
233,1000,30,32,1,0,PAIDOFF,0,0,1
234,1000,30,28,0,0,PAIDOFF,0,0,1
235,1000,30,35,0,0,PAIDOFF,0,1,0
236,1000,30,30,0,0,PAIDOFF,1,0,0
237,800,15,44,0,0,PAIDOFF,0,0,1
238,800,15,37,0,0,PAIDOFF,0,1,0
239,1000,30,31,0,0,PAIDOFF,0,0,1
240,800,15,36,0,0,PAIDOFF,0,0,1
241,800,30,31,0,0,PAIDOFF,0,0,1
242,800,15,42,0,0,PAIDOFF,0,1,0
243,1000,15,28,0,0,PAIDOFF,1,0,0
244,1000,30,30,0,0,PAIDOFF,0,0,1
245,1000,30,30,0,0,PAIDOFF,0,1,0
246,1000,15,24,0,0,PAIDOFF,1,0,0
247,1000,30,34,0,0,PAIDOFF,1,0,0
248,1000,30,29,0,0,PAIDOFF,0,0,1
249,1000,30,34,0,0,PAIDOFF,1,0,0
250,800,15,28,0,0,PAIDOFF,0,1,0
251,1000,15,30,1,0,PAIDOFF,0,0,1
252,1000,30,41,0,0,PAIDOFF,0,1,0
253,1000,30,29,0,0,PAIDOFF,0,0,1
254,1000,30,37,0,0,PAIDOFF,0,1,0
255,1000,30,36,0,0,PAIDOFF,1,0,0
256,800,15,27,0,0,PAIDOFF,0,0,1
257,1000,30,29,0,0,PAIDOFF,0,1,0
258,1000,30,40,0,0,PAIDOFF,0,1,0
259,1000,30,28,0,0,PAIDOFF,0,0,1
260,1000,15,29,0,1,COLLECTION,0,0,1
261,1000,30,37,0,1,COLLECTION,0,1,0
262,800,15,27,0,1,COLLECTION,0,0,1
263,800,15,24,0,1,COLLECTION,1,0,0
264,800,15,28,0,1,COLLECTION,0,0,1
265,1000,30,40,0,1,COLLECTION,0,1,0
266,1000,30,33,0,1,COLLECTION,0,0,1
267,1000,30,27,0,1,COLLECTION,0,1,0
268,1000,30,24,0,1,COLLECTION,0,0,1
269,1000,30,30,0,1,COLLECTION,0,1,0
270,1000,15,29,0,1,COLLECTION,0,1,0
271,1000,30,22,0,1,COLLECTION,1,0,0
272,1000,15,24,0,1,COLLECTION,1,0,0
273,1000,30,25,0,1,COLLECTION,0,0,1
274,1000,30,28,0,1,COLLECTION,0,1,0
275,1000,30,37,0,1,COLLECTION,0,0,1
276,800,15,32,0,1,COLLECTION,0,0,1
277,1000,15,34,0,1,COLLECTION,0,0,1
278,1000,30,28,0,1,COLLECTION,1,0,0
279,800,15,35,0,1,COLLECTION,1,0,0
280,1000,30,27,0,1,COLLECTION,0,0,1
281,1000,30,44,0,1,COLLECTION,1,0,0
282,1000,15,31,0,1,COLLECTION,0,0,1
283,1000,30,21,0,1,COLLECTION,0,1,0
284,1000,30,30,1,1,COLLECTION,0,1,0
285,1000,30,38,1,1,COLLECTION,0,0,1
286,1000,30,34,0,1,COLLECTION,0,1,0
287,1000,30,31,0,1,COLLECTION,0,0,1
288,1000,30,23,0,1,COLLECTION,0,1,0
289,1000,15,27,1,1,COLLECTION,0,0,1
290,1000,15,39,0,1,COLLECTION,0,1,0
291,1000,30,30,1,1,COLLECTION,0,1,0
292,1000,30,25,0,1,COLLECTION,0,0,1
293,1000,15,50,0,1,COLLECTION,0,0,0
294,1000,30,23,0,1,COLLECTION,0,1,0
295,800,15,38,0,1,COLLECTION,1,0,0
296,1000,30,27,0,1,COLLECTION,0,1,0
297,1000,30,31,0,1,COLLECTION,0,1,0
298,800,15,40,0,1,COLLECTION,0,0,1
299,1000,30,26,0,1,COLLECTION,0,1,0
300,1000,15,25,0,1,COLLECTION,0,0,1
301,1000,30,35,0,1,COLLECTION,0,1,0
302,1000,30,41,0,1,COLLECTION,0,1,0
303,1000,30,37,0,1,COLLECTION,0,1,0
304,1000,15,34,0,1,COLLECTION,0,0,1
305,1000,30,45,0,1,COLLECTION,0,1,0
306,1000,30,26,0,1,COLLECTION,1,0,0
307,1000,30,32,0,1,COLLECTION,0,0,1
308,1000,30,28,0,1,COLLECTION,0,1,0
309,1000,30,34,0,1,COLLECTION,0,0,1
310,800,15,29,0,1,COLLECTION,0,1,0
311,1000,30,26,0,1,COLLECTION,0,1,0
312,1000,15,26,0,1,COLLECTION,0,0,1
313,800,15,22,0,1,COLLECTION,0,0,1
314,1000,30,27,1,1,COLLECTION,0,1,0
315,800,30,33,0,1,COLLECTION,0,1,0
316,800,15,28,0,1,COLLECTION,1,0,0
317,1000,30,24,0,1,COLLECTION,0,0,1
318,1000,30,18,0,1,COLLECTION,0,0,1
319,800,15,25,0,1,COLLECTION,0,1,0
320,1000,15,40,0,1,COLLECTION,0,1,0
321,1000,30,29,0,1,COLLECTION,0,0,1
322,800,15,26,1,1,COLLECTION,0,1,0
323,1000,15,30,0,1,COLLECTION,0,0,1
324,1000,30,33,0,1,COLLECTION,0,0,1
325,1000,30,30,0,1,COLLECTION,0,0,1
326,1000,30,32,0,1,COLLECTION,0,0,1
327,1000,30,25,0,1,COLLECTION,0,1,0
328,800,15,35,0,1,COLLECTION,0,1,0
329,1000,15,30,0,1,COLLECTION,1,0,0
330,1000,30,26,0,1,COLLECTION,0,1,0
331,1000,30,29,0,1,COLLECTION,0,1,0
332,1000,30,26,0,1,COLLECTION,0,1,0
333,800,15,46,0,1,COLLECTION,0,1,0
334,1000,30,36,0,1,COLLECTION,0,1,0
335,1000,15,38,0,1,COLLECTION,1,0,0
336,1000,15,32,0,1,COLLECTION,0,1,0
337,1000,15,30,0,1,COLLECTION,0,0,1
338,800,15,35,0,1,COLLECTION,0,1,0
339,1000,30,29,1,1,COLLECTION,0,0,1
340,1000,30,26,0,1,COLLECTION,0,0,1
341,800,15,32,0,1,COLLECTION,0,1,0
342,1000,30,25,0,1,COLLECTION,0,1,0
343,800,15,39,0,0,COLLECTION,0,0,1
344,1000,30,28,0,0,COLLECTION,0,0,1
345,1000,30,26,0,0,COLLECTION,0,0,1
